asset_id,file,work,page_index,canvas_label,source_url,iiif_manifest,licence,creator_institution,resolution,megapixels,bytes,sha256
EP17-WTAY00,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_taylor1697_p0000.jpg,"Zachary Taylor, The Surey impostor, London 1697",0,-,https://wellcomecollection.org/works/hg45eb3c,https://iiif.wellcomecollection.org/presentation/v2/b30321566,http://creativecommons.org/publicdomain/mark/1.0/,Wellcome Collection,3596x5037,18.11,2398009,0a4aeebf9736372908e77b17170d6ea1f4bb6fe9e3463eed6f01f948d1fbc4fd
EP17-WTAY01,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_taylor1697_p0001.jpg,"Zachary Taylor, The Surey impostor, London 1697",1,-,https://wellcomecollection.org/works/hg45eb3c,https://iiif.wellcomecollection.org/presentation/v2/b30321566,http://creativecommons.org/publicdomain/mark/1.0/,Wellcome Collection,1716x6164,10.58,454013,037bcb030b85fd6c4c9487796b24919ff466988303b4eb1eca6b08da5a909c81
EP17-WTAY02,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_taylor1697_p0002.jpg,"Zachary Taylor, The Surey impostor, London 1697",2,-,https://wellcomecollection.org/works/hg45eb3c,https://iiif.wellcomecollection.org/presentation/v2/b30321566,http://creativecommons.org/publicdomain/mark/1.0/,Wellcome Collection,1716x6164,10.58,796410,697679d8cfe6e18ff881a4e681c38bfcd1c570fc3eee3719c884b17da52c922b
EP17-WTAY03,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_taylor1697_p0003.jpg,"Zachary Taylor, The Surey impostor, London 1697",3,-,https://wellcomecollection.org/works/hg45eb3c,https://iiif.wellcomecollection.org/presentation/v2/b30321566,http://creativecommons.org/publicdomain/mark/1.0/,Wellcome Collection,1454x5174,7.52,344147,aff40bc2e024b716da54dba2b7bb9ef130951d4ff27e91f93d97c80b868f7099
EP17-WTAY04,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_taylor1697_p0004.jpg,"Zachary Taylor, The Surey impostor, London 1697",4,-,https://wellcomecollection.org/works/hg45eb3c,https://iiif.wellcomecollection.org/presentation/v2/b30321566,http://creativecommons.org/publicdomain/mark/1.0/,Wellcome Collection,1454x5174,7.52,401999,385546dd61eaea857ce57dd59371f6c54b75273ef37060fd24cebdd2e921b11f
EP17-WTAY05,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_taylor1697_p0005.jpg,"Zachary Taylor, The Surey impostor, London 1697",5,-,https://wellcomecollection.org/works/hg45eb3c,https://iiif.wellcomecollection.org/presentation/v2/b30321566,http://creativecommons.org/publicdomain/mark/1.0/,Wellcome Collection,3488x4975,17.35,2047327,3477fea2e20a7019bf7c08622da44b6dd8db1ac9fcf82cdceb0bd70133662bb1
EP17-WTAY06,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_taylor1697_p0006.jpg,"Zachary Taylor, The Surey impostor, London 1697",6,-,https://wellcomecollection.org/works/hg45eb3c,https://iiif.wellcomecollection.org/presentation/v2/b30321566,http://creativecommons.org/publicdomain/mark/1.0/,Wellcome Collection,3488x4975,17.35,1754524,bfa521c32d0edb12a687b096d92c84fd0a5571c8053a75403fc56ea9b7325ad1
EP17-WTAY07,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_taylor1697_p0007.jpg,"Zachary Taylor, The Surey impostor, London 1697",7,-,https://wellcomecollection.org/works/hg45eb3c,https://iiif.wellcomecollection.org/presentation/v2/b30321566,http://creativecommons.org/publicdomain/mark/1.0/,Wellcome Collection,3488x4975,17.35,1754030,5fffaeab3434df5da4de0cde0eef23f56f4b149ccd7493a082ae36fa97410fc8
EP17-WJOL00,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_jollie1698_p0000.jpg,"Thomas Jollie, A vindication of the Surey demoniack as no impostor, London 1698",0,-,https://wellcomecollection.org/works/jezyrfhz,https://iiif.wellcomecollection.org/presentation/v2/b30341851,http://creativecommons.org/publicdomain/mark/1.0/,Wellcome Collection,3256x4098,13.34,1640915,d0e9a4634fe68abb96d07aa365725739af40efc22e603e3200e3e62b835ecfa6
EP17-WJOL01,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_jollie1698_p0001.jpg,"Thomas Jollie, A vindication of the Surey demoniack as no impostor, London 1698",1,-,https://wellcomecollection.org/works/jezyrfhz,https://iiif.wellcomecollection.org/presentation/v2/b30341851,http://creativecommons.org/publicdomain/mark/1.0/,Wellcome Collection,3020x4091,12.35,1014821,ef49551a5e2f0eabb518e358eed81056927975a138a51d1089b04bcdc5e79c10
EP17-WJOL02,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_jollie1698_p0002.jpg,"Thomas Jollie, A vindication of the Surey demoniack as no impostor, London 1698",2,3,https://wellcomecollection.org/works/jezyrfhz,https://iiif.wellcomecollection.org/presentation/v2/b30341851,http://creativecommons.org/publicdomain/mark/1.0/,Wellcome Collection,3020x4091,12.35,1432995,eadf162512f576ba951551bd0763ec9e632f78714c8c63db0f92368f9f54bd15
EP17-WJOL03,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_jollie1698_p0003.jpg,"Thomas Jollie, A vindication of the Surey demoniack as no impostor, London 1698",3,4,https://wellcomecollection.org/works/jezyrfhz,https://iiif.wellcomecollection.org/presentation/v2/b30341851,http://creativecommons.org/publicdomain/mark/1.0/,Wellcome Collection,3020x4091,12.35,1612826,9c84ec591ab7b7a00017af8626cb0fe5d55f940b11b02de2a9e0ffeb3ba1f64e
EP17-WJOL04,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_jollie1698_p0004.jpg,"Thomas Jollie, A vindication of the Surey demoniack as no impostor, London 1698",4,5,https://wellcomecollection.org/works/jezyrfhz,https://iiif.wellcomecollection.org/presentation/v2/b30341851,http://creativecommons.org/publicdomain/mark/1.0/,Wellcome Collection,3020x4091,12.35,1560050,f9a3fc14f48b6446f41c0c674a3094aa9ab8bb0b22ef87614b11f1f00c4c3a83
EP17-WJOL05,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP17_jollie1698_p0005.jpg,"Thomas Jollie, A vindication of the Surey demoniack as no impostor, London 1698",5,6,https://wellcomecollection.org/works/jezyrfhz,https://iiif.wellcomecollection.org/presentation/v2/b30341851,http://creativecommons.org/publicdomain/mark/1.0/,Wellcome Collection,3020x4091,12.35,1529526,b254f02e0e20203b2c2ea21287730591a7876d7f85de66f91fe85baa23d624f9
